Localisation	Id. source	Segment source	Segment cible	Id. cible1.2.12	lIX9Hnv	Empero por que el coraçon del noble ome sienprees cobdiçioso de oyr nueuas razones .	Tamen quia est animus hominis generosus , | et semper auidus nouas rationes audire :	e9QAy22, lgApZ0L
1.2.21	hdUPicU	Mas assi commo alli dize el philosofo tales son los nobles e los głiosos .	et gloriosos .	jxtDl6F
1.2.21	jFaT8zr	por la quel cosa en quanto el Rey es mas noble	Quare quanto est nobilior aliis ,	cA5g3hy
1.3.5	lnB7iIq	e aquellos que non son nobles	si non sunt magnanimi ,	sN8PguY
1.3.6	mje8kd0	que no nobre	si Rex sit inoperatiuus ,	fvlzxP2
1.3.10	jpFuI4p	quantomas deuen auer las obras mas altas e mas nobles .	quanto habere debent operationes maxime excellentes .	tXpxIlI
1.4.1	jebdJeo	Ca por la mayor parte otras costunbres han los nobles	Nam ut plurimum alios mores habent nobiles ,	qmX2Ko2
1.4.1	iah3Q8v	que non los que non son nobles .	quam ignobiles :	hwA2HCn
1.4.1	uWYBQIF	Mas alos Reyes e alos nobles non les conuiene ser uergonnosos	qua infliguntur poenae , dicet miseratiuos esse . Esse autem verecundos	xO4GBmM
1.4.5	qsBXQCn	e de lapña esboar delos nobles omes ¶	ipsorum nobilium	qySqRtu
1.4.5	hlLXQYk	Pues que assi es lo primero nobles son de grand coraçon	Quarto sunt politici et affabiles . Sunt enim nobiles magnanimi .	fbULLpb
1.4.5	ooT8ka1	Ca por esso algunos son dichos nobles	Ex hoc enim aliqui dicuntur esse nobiles ,	riXbddn
1.4.5	qRn2opF	si antigua miente desçendieron de aquel linage muchos granados omes et muchos nobles .	si ab antiquo ex illo genere processerunt multi praesides ,	oYUgFCl
1.4.5	lOF1qIu	enla qual antigua miente fueron muchos prinçipes e muchos nobles .	in qua etiam ab antiquo fuere multi principantes , | et multi insignes ,	mUhjqKh, fbJdKCc
1.4.5	rYWtNpk	que son nobles e dignis de honrra .	et honore digni ;	n9TeJpJ
1.4.5	yty2Reu	Et por ende por que los nobles de antiguo tienpo fueron prinçipes	quia ergo nobiles ex antiquo fuerunt praesides , et in suo genere fuerunt multi insignes et diuites ,	t1ym2Bu
1.4.5	hQhukYT	e en su linage fueres mucho nobles e ricos leunatase el coraçon de los nobles	quia ergo nobiles ex antiquo fuerunt praesides , et in suo genere fuerunt multi insignes et diuites ,	t1ym2Bu
1.4.5	nYpTSXX	Et por ende los nobles teniendo mientes	Nobiles ergo aduertentes	uDdrExW
1.4.5	vyXhNd3	que en el su linage fueron muchos nobles	quod in eorum genere fuerunt multi insignes ,	gjVVxfp
1.4.5	fLswRDy	¶Lo segundo son los nobles non solamente magnanimos e de grand coraçon .	et contingit eos esse magnanimos . Secundo nobiles non solum sunt magnanimi	i8Rmh4I
1.4.5	k3Pfgdk	sienpre los fijos son mas nobles que los padres .	etiam si adsit facultas sunt magnifici et facientes magna . Nam caeteris paribus semper filii sunt nobiliores parentibus .	vHCu4Bs
1.4.5	o5Ahmvy	commo la nobleza sienpre incline el coraçon de los nobles	quare cum nobilitas semper inclinet animum nobilium ut faciant magna ,	fgr1Zuj
1.4.5	fuBI5jL	siguese que los nobles han de ser magnificos	sequitur nobiles esse magnificos ,	rJdxAJb
1.4.5	n8ZRZr4	por que en alguna manera son mas nobles que elos .	quia quodammodo sunt nobiliores illis . Ideo nobiles non solum sunt magnifici ,	erzEhcq
1.4.5	x7ztAwt	que conuiene de ser los nobles magranimos	quod magnanimos et magnificos decet esse nobiles et gloriosos . Vult enim ibidem ,	a78mqHh
1.4.5	pyXX9R3	que los nobles	quod nobiles ex sua nobilitate incitantur ,	hY4Bnz9
1.4.5	eOok4E5	lo terçero los nobles son ensseñados e sabidores	ut sint magnanimi , et magnifici . Tertio nobiles sunt dociles	g14jSVx
1.4.5	ldEt6Rm	Ca por que los nobles son cados con grand acuçia	Cum enim nobiles cum magna diligentia nutriantur ,	rZwPHXz
1.4.5	ubTpad5	contesçe alos nobles	2 de Anima :	iZ8xO5O
1.4.5	nfJ1IYg	Ca los nobles	et societate aliorum . Nobiles enim	cJ8pjhm
1.4.5	gp8CVeA	Ca commo los nobles non sean reprehendidos destos lisongos	Cum enim nobiles non reprehenduntur ,	pQ1TuqQ
1.4.5	aWf0T6c	Et por ende much̃mas los nobles son enssennados e engennosos	et sequantur voluptatem , non rationem . Maxime ergo nobiles fiunt dociles	dastF5s
1.4.5	hRLNkjG	¶La quatta condicion de los nobles es que son corteses e amigables .	quid agendum . Quarto nobiles contingit esse politicos , et affabiles .	wkLPBvP
1.4.5	hyqsL5Z	Ca porque en la mayor parte en las cortes delos nobles es acostunbrado de auer grandes	Nam quia ut plurimum in curiis nobilium consueuit esse magna societas ,	naOTEyM
1.4.5	aAqzVcv	Assi los nobles por el contrario	sic nobiles econtrario vita sociali viuentes ,	wlJXUuu
1.4.5	oKDmXIj	las quales dize que pertenesçena los nobles ¶	quos dicit competere ipsius nobilibus . Primus est ,	ucYhS4O
1.4.5	yh17Q0h	Et por ende los nobles	et qui sunt honorabiles , volunt esse honorabiliores . Nobiles ergo ,	tkHnV3Z
1.4.5	n47584O	Ca en la mayor parte los nobles	ut plurimum enim nobiles ,	a2jNijC
